locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Warszawa Włochy,ul. Obywatelska,2pok.,48m²,799 000,16 573,owner,wczoraj,8,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-obywatelska-2-pokojowe-y1n9p3,https://s2.adresowa.pl/oi/17/19/3a7cac_35c6_cover-2-pokojowe-mieszkanie-warszawa-wlochy-ul-obywatelska.jpg
Warszawa Wola,ul. Górczewska,3pok.,50m²,800 000,16 000,owner,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-gorczewska-3-pokojowe-s4k2f7,https://s2.adresowa.pl/oi/20/76/3a8196_2cba_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-gorczewska.jpg
Warszawa Ursus,ul. Rakietników,2pok.,45m²,805 500,17 900,owner,dzisiajnowe,9,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-rakietnikow-2-pokojowe-l8y3e7,https://s2.adresowa.pl/oi/2c/4b/3a818a_6bdb_cover-2-pokojowe-mieszkanie-warszawa-ursus-ul-rakietnikow.jpg
,,,,,,unknown,,,https://adresowo.pl/mieszkania/warszawa/bemowo-g/,
Warszawa Włochy,ul. Trzcinowa,2pok.,49m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Ursynów,ul. ppłk. Zbigniewa Stanisława Kiedacza,3pok.,97m²,1 699 000,17 497,owner,wczorajnowe,28,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-pplk-zbigniewa-stanislawa-kiedacza-3-pokojowe-m2l7j5,https://s2.adresowa.pl/oi/62/7c/3a80f2_391e_cover-3-pokojowe-mieszkanie-warszawa-ursynow-ul-pplk-zbigniewa-stanislawa-kiedacza.jpg
Warszawa Bemowo,ul. Waleriana Czumy,2pok.,52m²,749 000,14 321,owner,wczorajnowe,11,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-waleriana-czumy-2-pokojowe-n9h3h7,https://s2.adresowa.pl/oi/7d/57/3a80ee_5614_cover-2-pokojowe-mieszkanie-warszawa-bemowo-ul-waleriana-czumy.jpg
Warszawa Tarchomin,ul. Sprawna,3pok.,64m²,969 300,15 145,owner,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-warszawa-tarchomin-ul-sprawna-3-pokojowe-p4g7f5,https://s2.adresowa.pl/oi/47/10/3a8178_f0d0_cover-3-pokojowe-mieszkanie-warszawa-tarchomin-ul-sprawna.jpg
Warszawa Praga-Południe,Bliska,3pok.,48m²,635 000,13 123,owner,wczorajnowe,20,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-bliska-3-pokojowe-w9j4f4,https://s2.adresowa.pl/oi/3e/51/3a8158_9d5e_cover-3-pokojowe-mieszkanie-warszawa-praga-poludnie-bliska.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Bemowo,ul. Podgrodzie,2pok.,48m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-t2i4v5,https://s2.adresowa.pl/development/671978/nowe-mieszkania-viva-cite-34b9_cover.jpg
Warszawa Wilanów,ul. Księdza Prymasa Augusta Hlonda,3pok.,71m²,1 189 000,16 744,owner,wczorajnowe,18,https://adresowo.pl/o/mieszkanie-warszawa-wilanow-ul-ksiedza-prymasa-augusta-hlonda-3-pokojowe-u5u6n2,https://s2.adresowa.pl/oi/5a/4d/3a7efa_3f43_cover-3-pokojowe-mieszkanie-warszawa-wilanow-ul-ksiedza-prymasa-augusta-hlonda.jpg
Warszawa Śródmieście,ul. Stanisława Noakowskiego,4pok.,85m²,1 800 000,21 176,owner,wczorajnowe,19,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-stanislawa-noakowskiego-4-pokojowe-g0z5m1,https://s2.adresowa.pl/oi/37/14/3a7ee2_e333_cover-4-pokojowe-mieszkanie-warszawa-srodmiescie-ul-stanislawa-noakowskiego.jpg
Warszawa Mokotów,ul. Wincentego Rzymowskiego,1pok.,23m²,430 000,18 534,owner,wczorajnowe,9,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-wincentego-rzymowskiego-1-pokoj-o5l4b0,https://s2.adresowa.pl/oi/63/36/3a8154_3ea6_cover-1-pokojowe-mieszkanie-warszawa-mokotow-ul-wincentego-rzymowskiego.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Targówek,ul. Lusińska,3pok.,52m²,849 000,16 327,owner,wczorajnowe,10,https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-lusinska-3-pokojowe-t0p6x6,https://s2.adresowa.pl/oi/1c/50/3a807c_3d8a_cover-3-pokojowe-mieszkanie-warszawa-targowek-ul-lusinska.jpg
Warszawa Chrzanów,ul. Szeligowska,2pok.,44m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-v1p3g9,https://s2.adresowa.pl/development/671220/nowe-mieszkania-bemowo-vita-2de2_cover.jpg
Warszawa,,1pok.,46m²,775 200,17 000,owner,wczoraj,8,https://adresowo.pl/o/mieszkanie-warszawa-1-pokoj-45-m2-i0x9d5,https://s2.adresowa.pl/oi/75/51/3a7b6a_4b98_cover-1-pokojowe-mieszkanie-warszawa.jpg
Warszawa Białołęka,ul. Strumykowa,2pok.,40m²,539 000,13 509,owner,wczoraj,9,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-strumykowa-2-pokojowe-e0x6k2,https://s2.adresowa.pl/oi/36/52/3a7b5e_3463_cover-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-strumykowa.jpg
Warszawa Saska Kępa,ul. Czeska,2pok.,48m²,1 485 000,30 938,owner,wczorajnowe,7,https://adresowo.pl/o/mieszkanie-warszawa-saska-kepa-ul-czeska-2-pokojowe-s3r9s4,https://s2.adresowa.pl/oi/18/60/3a8092_b333_cover-2-pokojowe-mieszkanie-warszawa-saska-kepa-ul-czeska.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Wola,ul. Marcina Kasprzaka,3pok.,56m²,1 234 700,21 900,owner,wczorajnowe,13,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-marcina-kasprzaka-3-pokojowe-o9n7y5,https://s2.adresowa.pl/oi/67/7d/3a7ebc_c54a_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-marcina-kasprzaka.jpg
Warszawa Białołęka,ul. Ruskowy Bród,2pok.,38m²,zapytajocenę,,owner,,4,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-ruskowy-brod-2-pokojowe-s4r1k3,https://s2.adresowa.pl/development/672198/nowe-mieszkania-aroniowa-vita-ce2f_cover.jpg
Warszawa Śródmieście,ul. Długa,2pok.,50m²,1 000 000,20 000,owner,wczoraj,5,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-dluga-2-pokojowe-u7k3u8,https://s2.adresowa.pl/oi/13/13/3a7b46_aa09_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-ul-dluga.jpg
Warszawa Śródmieście,ul. Foksal,4pok.,82m²,1 800 000,21 951,owner,wczoraj,13,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-foksal-4-pokojowe-x5g7s6,https://s2.adresowa.pl/oi/38/1f/3a7b42_f73f_cover-4-pokojowe-mieszkanie-warszawa-srodmiescie-ul-foksal.jpg
Warszawa Bemowo,ul. gen. Ludomiła Rayskiego,2pok.,45m²,890 000,19 813,owner,wczorajnowe,13,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-gen-ludomila-rayskiego-2-pokojowe-l0c1q0,https://s2.adresowa.pl/oi/3b/5c/3a7e36_2d6e_cover-2-pokojowe-mieszkanie-warszawa-bemowo-ul-gen-ludomila-rayskiego.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Grochów,ul. Ludwika Mycielskiego,2pok.,38m²,570 000,15 180,owner,wczorajnowe,8,https://adresowo.pl/o/mieszkanie-warszawa-grochow-ul-ludwika-mycielskiego-2-pokojowe-f4v3s7,https://s2.adresowa.pl/oi/39/17/3a7d98_2bf5_cover-2-pokojowe-mieszkanie-warszawa-grochow-ul-ludwika-mycielskiego.jpg
Warszawa Praga-Południe,ul. Podskarbińska,2pok.,42m²,zapytajocenę,,owner,,7,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-podskarbinska-2-pokojowe-o4p8h9,https://s2.adresowa.pl/development/671216/nowe-mieszkania-aleje-praskie-951e_cover.jpg
Warszawa Mokotów,al. Niepodległości,2pok.,66m²,980 000,14 792,owner,wczoraj,8,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-al-niepodleglosci-2-pokojowe-q3d8i7,https://s2.adresowa.pl/oi/57/6f/3a7ae2_58f8_cover-2-pokojowe-mieszkanie-warszawa-mokotow-al-niepodleglosci.jpg
Warszawa Praga-Północ,ul. Namysłowska,2pok.,37m²,673 000,18 303,owner,wczoraj,2,https://adresowo.pl/o/mieszkanie-warszawa-praga-polnoc-ul-namyslowska-2-pokojowe-u6r6c9,https://s2.adresowa.pl/oi/4c/6a/3a7adc_4717_cover-2-pokojowe-mieszkanie-warszawa-praga-polnoc-ul-namyslowska.jpg
Warszawa Ochota,,3pok.,50m²,1 100 000,22 000,owner,wczorajnowe,8,https://adresowo.pl/o/mieszkanie-warszawa-ochota-3-pokojowe-50-m2-h4j6r9,https://s2.adresowa.pl/oi/78/56/3a7d78_5bd8_cover-3-pokojowe-mieszkanie-warszawa-ochota.jpg
Warszawa Zacisze,ul. Wyspowa,3pok.,84m²,1 050 000,12 500,owner,wczoraj,15,https://adresowo.pl/o/mieszkanie-warszawa-zacisze-ul-wyspowa-3-pokojowe-q3t7x8,https://s2.adresowa.pl/oi/13/5e/3a7c72_57f5_cover-3-pokojowe-mieszkanie-warszawa-zacisze-ul-wyspowa.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Włochy,al. Krakowska,2pok.,53m²,zapytajocenę,,owner,,10,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-al-krakowska-2-pokojowe-f5h9l7,https://s2.adresowa.pl/development/671222/nowe-mieszkania-krakowska-vita-7624_cover.jpg
Warszawa Praga-Południe,ul. Kawcza,2pok.,41m²,712 000,17 580,owner,wczoraj,8,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-kawcza-2-pokojowe-y9w8i5,https://s2.adresowa.pl/oi/10/3e/3a7ad2_cce0_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-kawcza.jpg
Warszawa Praga-Południe,ul. Michała Paca,2pok.,36m²,689 000,19 139,owner,wczoraj,10,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-michala-paca-2-pokojowe-n1z2j1,https://s2.adresowa.pl/oi/7d/28/3a7aca_5b8e_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-michala-paca.jpg
Warszawa Wola,ul. Fort Wola,2pok.,43m²,989 000,23 000,owner,wczoraj,8,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-fort-wola-2-pokojowe-g2s9j8,https://s2.adresowa.pl/oi/47/52/3a7bee_dc56_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-fort-wola.jpg
Warszawa Ursus,ul. Tomcia Palucha,3pok.,63m²,1 014 000,15 986,owner,wczoraj,19,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-tomcia-palucha-3-pokojowe-q1f0g4,https://s2.adresowa.pl/oi/58/14/3a7bda_ffa1_cover-3-pokojowe-mieszkanie-warszawa-ursus-ul-tomcia-palucha.jpg
Warszawa Rembertów,ul. Stanisława Fiszera,2pok.,37m²,zapytajocenę,,owner,,3,https://adresowo.pl/o/mieszkanie-warszawa-rembertow-ul-stanislawa-fiszera-2-pokojowe-y2m3a6,https://s2.adresowa.pl/development/672048/nowe-mieszkania-stacja-rembertow-15f7_cover.jpg
,,,,,,unknown,,,,
,,,,,,unknown,,,,
Warszawa Bielany,ul. Podleśna,3pok.,52m²,826 500,15 894,owner,wczoraj,12,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-podlesna-3-pokojowe-b1z2e5,https://s2.adresowa.pl/oi/7b/68/3a7ac4_fe28_cover-3-pokojowe-mieszkanie-warszawa-bielany-ul-podlesna.jpg
Warszawa Grochów,,3pok.,61m²,1 100 000,18 033,owner,wczoraj,7,https://adresowo.pl/o/mieszkanie-warszawa-grochow-3-pokojowe-61-m2-c6g8s9,https://s2.adresowa.pl/oi/65/2d/3a7ab0_b348_cover-3-pokojowe-mieszkanie-warszawa-grochow.jpg
Warszawa Śródmieście,,2pok.,37m²,1 110 000,30 000,owner,wczoraj,1,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-2-pokojowe-37-m2-s6d2v5,https://s2.adresowa.pl/oi/72/11/3a7bd2_fd44_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie.jpg
Warszawa Targówek,ul. Oliwska,2pok.,45m²,zapytajocenę,,owner,,16,https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-oliwska-2-pokojowe-b8c6x1,https://s2.adresowa.pl/development/671224/nowe-mieszkania-oliwska-vita-99e3_cover.jpg
Warszawa Wola,ul. Ignacego Prądzyńskiego,3pok.,52m²,1 127 000,21 723,owner,2 dni temu,7,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego-3-pokojowe-p3g5h4,https://s2.adresowa.pl/oi/37/30/3a7a04_71cd_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-ignacego-pradzynskiego.jpg
Warszawa Białołęka,ul. Mariana Hemara,5pok.,118m²,1 999 990,16 906,owner,2 dni temu,20,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-mariana-hemara-5-pokojowe-d1o4j3,https://s2.adresowa.pl/oi/55/11/3a7a02_53f2_cover-5-pokojowe-mieszkanie-warszawa-bialoleka-ul-mariana-hemara.jpg
Warszawa Wola,ul. Marcina Kasprzaka,3pok.,56m²,1 234 700,21 900,owner,wczorajnowe,13,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-marcina-kasprzaka-3-pokojowe-o9n7y5,https://s2.adresowa.pl/oi/67/7d/3a7ebc_c54a_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-marcina-kasprzaka.jpg
